order_id,customer_id,product_id,quantity,order_date,unit_price_paid
ORD-1001,C-101,P-11,2,2024-03-01,$49.99
ORD-1002,C-102,P-12,1,01/03/2024,$19.99
ORD-1003,C-103,P-13,5,2024/03/02,$99.50
ORD-1004,C-104,P-14,3,45210,$35.00
ORD-1005,C-105,P-15,-1,2024-03-03,N/A
ORD-1006,C-106,P-16,4,03-03-24,$12.75
ORD-1007,C-107,P-17,2,2024.03.04,$67.90
ORD-1008,C-108,P-18,1,04/03/2024,$89,99
ORD-1009,C-109,P-19,6,2024-03-05,$25.40
ORD-1010,C-110,P-20,2,2024-03-06,$44.10
ORD-1011,C-111,P-21,1,2024-03-07,$59.99
ORD-1012,C-112,P-22,3,07/03/2024,$29.50
ORD-1013,C-113,P-23,4,2024/03/08,$75.00
ORD-1014,C-114,P-24,2,45211,$15.00
ORD-1015,C-115,P-25,5,2024-03-09,$120.99
ORD-1016,C-116,P-26,0,09-03-24,$89.00
ORD-1017,C-117,P-27,1,2024.03.10,$33.45
ORD-1018,C-118,P-28,2,10/03/2024,$64,50
ORD-1019,C-119,P-29,3,2024-03-11,$49.00
ORD-1020,C-120,P-30,1,2024-03-12,$18.75
ORD-1021,C-121,P-31,4,2024-03-13,$72.30
ORD-1022,C-122,P-32,2,13/03/2024,$58.10
ORD-1023,C-123,P-33,6,2024/03/14,$95.99
ORD-1024,C-124,P-34,3,45212,$40.00
ORD-1025,C-125,P-35,1,2024-03-15,$15.49
ORD-1026,C-126,P-36,-2,15-03-24,N/A
ORD-1027,C-127,P-37,2,2024.03.16,$27.80
ORD-1028,C-128,P-38,1,16/03/2024,$84,99
ORD-1029,C-129,P-39,5,2024-03-17,$135.00
ORD-1030,C-130,P-40,3,2024-03-18,$66.25
ORD-1031,C-131,P-41,1,2024-03-19,$11.99
ORD-1032,C-132,P-42,4,19/03/2024,$42.00
ORD-1033,C-133,P-43,2,2024/03/20,$88.90
ORD-1034,C-134,P-44,3,45213,$53.10
ORD-1035,C-135,P-45,5,2024-03-21,$91.25
ORD-1036,C-136,P-46,0,21-03-24,$17.99
ORD-1037,C-137,P-47,2,2024.03.22,$29.99
ORD-1038,C-138,P-48,1,22/03/2024,$72,50
ORD-1039,C-139,P-49,4,2024-03-23,$63.75
ORD-1040,C-140,P-50,3,2024-03-24,$145.00
ORD-1041,C-141,P-11,2,2024-03-25,$49.99
ORD-1042,C-142,P-12,1,25/03/2024,$19.99
ORD-1043,C-143,P-13,5,2024/03/26,$99.50
ORD-1044,C-144,P-14,3,45214,$35.00
ORD-1045,C-145,P-15,-1,2024-03-27,N/A
ORD-1046,C-146,P-16,4,27-03-24,$12.75
ORD-1047,C-147,P-17,2,2024.03.28,$67.90
ORD-1048,C-148,P-18,1,28/03/2024,$89,99
ORD-1049,C-149,P-19,6,2024-03-29,$25.40
ORD-1050,C-150,P-20,2,2024-03-30,$44.10
ORD-1051,C-151,P-21,1,2024-03-31,$59.99
ORD-1052,C-152,P-22,3,31/03/2024,$29.50
ORD-1053,C-153,P-23,4,2024/04/01,$75.00
ORD-1054,C-154,P-24,2,45215,$15.00
ORD-1055,C-155,P-25,5,2024-04-02,$120.99
ORD-1056,C-156,P-26,0,02-04-24,$89.00
ORD-1057,C-157,P-27,1,2024.04.03,$33.45
ORD-1058,C-158,P-28,2,03/04/2024,$64,50
ORD-1059,C-159,P-29,3,2024-04-04,$49.00
