shipment_id,order_id,ship_date,status
SHP-1001,ORD-1001,2024-03-02,shipped
SHP-1002,ORD-1002,2024-03-03,delivered
SHP-1003,ORD-1003,2024-03-04,pending
SHP-1004,ORD-1004,2024-03-05,cancelled
SHP-1005,ORD-1005,2024-03-06,delivered
SHP-1006,ORD-1006,2024-03-07,shipped
SHP-1007,ORD-1007,2024-03-08,pending
SHP-1008,ORD-1008,2024-03-09,delivered
SHP-1009,ORD-1009,2024-03-10,shipped
SHP-1010,ORD-1010,2024-03-11,delivered
SHP-1011,ORD-1011,2024-03-12,pending
SHP-1012,ORD-1012,2024-03-13,shipped
SHP-1013,ORD-1013,2024-03-14,delivered
SHP-1014,ORD-1014,2024-03-15,cancelled
SHP-1015,ORD-1015,2024-03-16,delivered
SHP-1016,ORD-1016,2024-03-17,shipped
SHP-1017,ORD-1017,2024-03-18,pending
SHP-1018,ORD-1018,2024-03-19,delivered
SHP-1019,ORD-1019,2024-03-20,shipped
SHP-1020,ORD-1020,2024-03-21,delivered
SHP-1021,ORD-1021,2024-03-22,pending
SHP-1022,ORD-1022,2024-03-23,shipped
SHP-1023,ORD-1023,2024-03-24,delivered
SHP-1024,ORD-1024,2024-03-25,cancelled
SHP-1025,ORD-1025,2024-03-26,delivered
SHP-1026,ORD-1026,2024-03-27,shipped
SHP-1027,ORD-1027,2024-03-28,pending
SHP-1028,ORD-1028,2024-03-29,delivered
SHP-1029,ORD-1029,2024-03-30,shipped
SHP-1030,ORD-1030,2024-03-31,delivered
SHP-1031,ORD-1031,2024-04-01,pending
SHP-1032,ORD-1032,2024-04-02,shipped
SHP-1033,ORD-1033,2024-04-03,delivered
SHP-1034,ORD-1034,2024-04-04,cancelled
SHP-1035,ORD-1035,2024-04-05,delivered
SHP-1036,ORD-1036,2024-04-06,shipped
SHP-1037,ORD-1037,2024-04-07,pending
SHP-1038,ORD-1038,2024-04-08,delivered
SHP-1039,ORD-1039,2024-04-09,shipped
SHP-1040,ORD-1040,2024-04-10,delivered
SHP-1041,ORD-1041,2024-04-11,pending
SHP-1042,ORD-1042,2024-04-12,shipped
SHP-1043,ORD-1043,2024-04-13,delivered
SHP-1044,ORD-1044,2024-04-14,cancelled
SHP-1045,ORD-1045,2024-04-15,delivered
SHP-1046,ORD-1046,2024-04-16,shipped
SHP-1047,ORD-1047,2024-04-17,pending
SHP-1048,ORD-1048,2024-04-18,delivered
SHP-1049,ORD-1049,2024-04-19,shipped
SHP-1050,ORD-1050,2024-04-20,delivered
SHP-1051,ORD-1051,2024-04-21,pending
SHP-1052,ORD-1052,2024-04-22,shipped
SHP-1053,ORD-1053,2024-04-23,delivered
SHP-1054,ORD-1054,2024-04-24,cancelled
SHP-1055,ORD-1055,2024-04-25,delivered
SHP-1056,ORD-1056,2024-04-26,shipped
SHP-1057,ORD-1057,2024-04-27,pending
SHP-1058,ORD-1058,2024-04-28,delivered
SHP-1059,ORD-1059,2024-04-29,shipped
SHP-1060,ORD-1060,2024-04-30,delivered
SHP-1061,ORD-1061,2024-05-01,pending
SHP-1062,ORD-1062,2024-05-02,shipped
SHP-1063,ORD-1063,2024-05-03,delivered
SHP-1064,ORD-1064,2024-05-04,cancelled
SHP-1065,ORD-1065,2024-05-05,delivered
SHP-1066,ORD-1066,2024-05-06,shipped
SHP-1067,ORD-1067,2024-05-07,pending
SHP-1068,ORD-1068,2024-05-08,delivered
SHP-1069,ORD-1069,2024-05-09,shipped
SHP-1070,ORD-1070,2024-05-10,delivered
SHP-1071,ORD-1071,2024-05-11,pending
SHP-1072,ORD-1072,2024-05-12,shipped
SHP-1073,ORD-1073,2024-05-13,delivered
SHP-1074,ORD-1074,2024-05-14,cancelled
SHP-1075,ORD-1075,2024-05-15,delivered
SHP-1076,ORD-1076,2024-05-16,shipped
SHP-1077,ORD-1077,2024-05-17,pending
SHP-1078,ORD-1078,2024-05-18,delivered
SHP-1079,ORD-1079,2024-05-19,shipped
SHP-1080,ORD-1080,2024-05-20,delivered
SHP-1081,ORD-1081,2024-05-21,pending
SHP-1082,ORD-1082,2024-05-22,shipped
SHP-1083,ORD-1083,2024-05-23,delivered
SHP-1084,ORD-1084,2024-05-24,cancelled
SHP-1085,ORD-1085,2024-05-25,delivered
SHP-1086,ORD-1086,2024-05-26,shipped
SHP-1087,ORD-1087,2024-05-27,pending
SHP-1088,ORD-1088,2024-05-28,delivered
SHP-1089,ORD-1089,2024-05-29,shipped
SHP-1090,ORD-1090,2024-05-30,delivered
SHP-1091,ORD-1091,2024-05-31,pending
SHP-1092,ORD-1092,2024-06-01,shipped
SHP-1093,ORD-1093,2024-06-02,delivered
SHP-1094,ORD-1094,2024-06-03,cancelled
SHP-1095,ORD-1095,2024-06-04,delivered
SHP-1096,ORD-1096,2024-06-05,shipped
SHP-1097,ORD-1097,2024-06-06,pending
SHP-1098,ORD-1098,2024-06-07,delivered
SHP-1099,ORD-1099,2024-06-08,shipped
SHP-1100,ORD-1100,2024-06-09,delivered
